AGEB	NUM_ENC
090170001105A	20
0901700011115	20
090170001112A	20
0901700011219	20
0901700011257	20
0901700011346	20
0901700011350	20
090170001151A	20
0900500010084	10
090050001060A	10
0900500010737	10
0900500011275	10
0900500011792	10
0900500011881	10
0900500012112	10
0900500012146	10
0900500012184	10
0900500012324	10
0900500012339	10
0900500012358	10
0900500012428	10
090050001263A	10
0900500012678	10
0900500012837	10
0900500012875	10
0900500013055	10
0900500013074	10
0900500013163	10
0900500013182	10
090050001320A	10
0900500013229	10
0900500013356	10
0900500010224	10
0900500010281	10
0900500010296	10
0900500010309	10
0900500010370	10
0900500010493	10
0900500010506	10
0900500010510	10
0900500010559	10
0900500010614	10
0900500010633	10
0900500010741	10
0900500010760	10
0900500010775	10
0900500010794	10
0900500010807	10
0900500010879	10
0900500010883	10
0900500010898	10
0900500010915	10
090050001092A	10
0900500010934	10
0900500010949	10
0900500010953	10
0900500010968	10
0900500010987	10
0900500011063	10
0900500011078	10
0900500011082	10
0900500011097	10
0900500011114	10
0900500011129	10
0900500011241	10
0900500011256	10
0900500011260	10
0900500011326	10
090050001142A	10
0900500011434	10
0900500011468	10
0900500011472	10
0900500011608	10
0900500011612	10
0900500011646	10
0900500011805	10
0900500012038	10
0900500012057	10
0900500012061	10
0900500012080	10
0900500012432	10
0900500012574	10
0900500012644	10
0900500012659	10
0900500012663	10
0900500012697	10
0900500012714	10
0900500013110	10
